name-entity
&nbsp;
&amp;
&apos;
&lt;
&gt;
&copy;
&reg;
&trade;
&pound;
&yen;
&euro;
&ndash;
&mdash;
&lsquo;
&rsquo;
&ldquo;
&rdquo;
&bull;
&hellip;
